GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000092025.1	112658	GCF_000092025.1	114078	
GCA_000092045.1	112678	GCF_000092045.1	114098	
GCA_000261485.1	377738	GCF_000261485.1	454278	
GCA_000298315.2	706788	GCF_000298315.2	709738	
GCA_000325745.1	512658	GCF_000325745.1	513938	
GCA_000330885.1	521738	GCF_000330885.1	521818	
GCA_000359745.1	582458	GCF_000359745.1	723608	
GCA_000379605.1	602838	GCF_000379605.1	634698	
GCA_000419765.1	728108	GCF_000419765.1	846498	
GCA_000421945.1	731388	GCF_000421945.1	737218	
GCA_000426285.1	777048	GCF_000426285.1	1127278	
GCA_000427465.1	777518	GCF_000427465.1	1122198	
GCA_000518585.1	891598	GCF_000518585.1	1119788	
GCA_000518785.1	891798	GCF_000518785.1	1127238	
GCA_000577275.2	11225808	GCF_000577275.2	15689858	
GCA_000590865.3	15549368	GCF_000590865.3	15578878	
GCA_000621665.1	993998	GCF_000621665.1	1118558	
GCA_000696095.1	1086078	GCF_000696095.1	1524808	
GCA_000697965.2	3300028	GCF_000697965.2	3314428	
GCA_000705355.1	1118998	GCF_000705355.1	1144318	
GCA_000731315.1	1175778	GCF_000731315.1	1512268	
GCA_000732195.1	1176918	GCF_000732195.1	1445118	
GCA_000739935.1	1188068	GCF_000739935.1	1697638	
GCA_000816845.1	1466868	GCF_000816845.1	1489988	
GCA_000949865.1	1677978	GCF_000949865.1	1688798	
GCA_000967425.1	1716538	GCF_000967425.1	2248668	
GCA_001187535.1	2030758	GCF_001187535.1	2031758	
GCA_001461695.1	2713998	GCF_001461695.1	2846038	
GCA_001541305.1	2836568	GCF_001541305.1	2851018	
GCA_001541315.1	2836598	GCF_001541315.1	2850998	
GCA_001541345.2	6935318	GCF_001541345.2	6951738	
GCA_001542405.1	2851398	GCF_001542405.1	3139798	
GCA_001651855.1	3272258	GCF_001651855.1	3274488	
GCA_001651865.1	3272268	GCF_001651865.1	3274428	
GCA_001651875.1	3272278	GCF_001651875.1	3395898	
GCA_001687365.1	3346228	GCF_001687365.1	3410798	
GCA_001723275.1	3441608	GCF_001723275.1	3442378	
GCA_001885585.1	3742638	GCF_001885585.1	3743238	
GCA_001931685.1	3935078	GCF_001931685.1	3950428	
GCA_001938945.1	3952168	GCF_001938945.1	3961908	
GCA_001938985.1	3952208	GCF_001938985.1	3961408	
GCA_001939045.1	3952248	GCF_001939045.1	3961928	
GCA_002000045.1	4130868	GCF_002000045.1	4142398	
GCA_002008165.1	4162488	GCF_002008165.1	4163508	
GCA_002008215.1	4162548	GCF_002008215.1	4163728	
GCA_002008225.1	4162538	GCF_002008225.1	4163548	
GCA_002008275.1	4162588	GCF_002008275.1	4163568	
GCA_002008365.1	4162688	GCF_002008365.1	4163588	
GCA_002078505.1	4338558	GCF_002078505.1	4339888	
GCA_002204185.1	4620018	GCF_002204185.1	4630418	
GCA_002288525.1	4994568	GCF_002288525.1	4995608	
GCA_002531855.1	5313438	GCF_002531855.1	5356488	
GCA_002531935.1	5313518	GCF_002531935.1	5359728	
GCA_002750855.1	5615398	GCF_002750855.1	5633658	
GCA_002896715.1	5927808	GCF_002896715.1	5932248	
GCA_002914525.1	5984618	GCF_002914525.1	5994248	
GCA_002915175.1	5986458	GCF_002915175.1	5993628	
GCA_002968575.1	6169348	GCF_002968575.1	6205548	
GCA_002968635.1	6169378	GCF_002968635.1	6205628	
GCA_003058385.1	6388388	GCF_003058385.1	6419758	
GCA_003122325.1	6490218	GCF_003122325.1	6540248	
GCA_003205195.1	6625538	GCF_003205195.1	6662878	
GCA_003240565.1	6672998	GCF_003240565.1	6703868	
GCA_003240585.1	6673018	GCF_003240585.1	6702728	
GCA_003337715.1	6944248	GCF_003337715.1	6951398	
GCA_003627755.1	7549748	GCF_003627755.1	7553558	
GCA_003938655.1	8073508	GCF_003938655.1	8106328	
GCA_003939025.1	8073878	GCF_003939025.1	8106608	
GCA_003952725.1	8097748	GCF_003952725.1	8132538	
GCA_003985125.1	8168048	GCF_003985125.1	8185148	
GCA_003985135.1	8168038	GCF_003985135.1	8182888	
GCA_003985145.1	8168028	GCF_003985145.1	8213388	
GCA_003985155.1	8168058	GCF_003985155.1	8185348	
GCA_004310285.1	8668038	GCF_004310285.1	8691368	
GCA_004341885.1	8725848	GCF_004341885.1	8757408	
GCA_004358025.1	8762118	GCF_004358025.1	8766278	
GCA_004912135.1	9484148	GCF_004912135.1	9498058	
GCA_004912165.1	9484188	GCF_004912165.1	9499858	
GCA_005145045.1	9747918	GCF_005145045.1	9825618	
GCA_005862305.2	19970608	GCF_005862305.2	20044038	
GCA_006335145.1	11213798	GCF_006335145.1	11388268	
GCA_006443685.1	11449688	GCF_006443685.1	11561338	
GCA_006539605.1	11593278	GCF_006539605.1	11650508	
GCA_007002985.1	12097198	GCF_007002985.1	12215138	
GCA_007827505.1	12985188	GCF_007827505.1	13045798	
GCA_007827695.1	12985378	GCF_007827695.1	13036958	
GCA_007992095.1	13185868	GCF_007992095.1	13219348	
GCA_008801385.1	14209888	GCF_008801385.1	14244418	
GCA_008932245.1	14361878	GCF_008932245.1	14457458	
GCA_009498475.1	15005678	GCF_009498475.1	15171648	
GCA_009599935.1	15135818	GCF_009599935.1	15169748	
GCA_009601405.1	15137308	GCF_009601405.1	15171348	
GCA_009617585.1	15153638	GCF_009617585.1	15167458	
GCA_009649785.1	15378548	GCF_009649785.1	15410928	
GCA_009826855.1	15722188	GCF_009826855.1	15928698	
GCA_009827055.1	15722408	GCF_009827055.1	15929878	
GCA_010669145.1	16814918	GCF_010669145.1	17321438	
GCA_011045155.1	17317968	GCF_011045155.1	17341198	
GCA_011046245.1	17326298	GCF_011046245.1	17372648	
GCA_011046895.1	17327058	GCF_011046895.1	17372008	
GCA_012349115.1	18739358	GCF_012349115.1	18947198	
GCA_013087515.1	19579178	GCF_013087515.1	19659548	
GCA_013087605.1	19579258	GCF_013087605.1	22710178	
GCA_013087625.1	19579298	GCF_013087625.1	19687768	
GCA_013283195.1	19950448	GCF_013283195.1	19959468	
GCA_013283645.1	19950888	GCF_013283645.1	19977908	
GCA_013283665.1	19950908	GCF_013283665.1	19977928	
GCA_013378445.1	20192228	GCF_013378445.1	20248968	
GCA_013488225.1	20499038	GCF_013488225.1	20699758	
GCA_014126615.1	21497998	GCF_014126615.1	21546708	
GCA_014138565.1	21510278	GCF_014138565.1	21563528	
GCA_014192445.1	21596768	GCF_014192445.1	21625528	
GCA_014196235.1	21600578	GCF_014196235.1	21625688	
GCA_014196505.1	21600838	GCF_014196505.1	21629808	
GCA_014196515.1	21600878	GCF_014196515.1	21629768	
GCA_014196535.1	21600888	GCF_014196535.1	21628948	
GCA_014196605.1	21600938	GCF_014196605.1	21629788	
GCA_014196735.1	21601048	GCF_014196735.1	21653988	
GCA_014196765.1	21601088	GCF_014196765.1	21629048	
GCA_014197145.1	21601458	GCF_014197145.1	21619268	
GCA_014201355.1	21605688	GCF_014201355.1	21633888	
GCA_014201495.1	21605808	GCF_014201495.1	21629148	
GCA_014202125.1	21606468	GCF_014202125.1	21649968	
GCA_014202175.1	21606488	GCF_014202175.1	21631388	
GCA_014203155.1	21607488	GCF_014203155.1	21641348	
GCA_014280875.1	21759218	GCF_014280875.1	21778908	
GCA_014638185.1	22181308	GCF_014638185.1	22209108	
GCA_014641515.1	22184658	GCF_014641515.1	22208348	
GCA_014727215.1	22285548	GCF_014727215.1	22334038	
GCA_014873945.1	22496508	GCF_014873945.1	22498048	
GCA_017352135.1	25546328	GCF_017352135.1	25549588	
GCA_017357225.1	25556408	GCF_017357225.1	25584478	
GCA_017357245.1	25556428	GCF_017357245.1	25584578	
GCA_017873055.1	26146878	GCF_017873055.1	26178808	
GCA_017873095.1	26146898	GCF_017873095.1	26180188	
GCA_017873105.1	26146918	GCF_017873105.1	26176268	
GCA_017874595.1	26148398	GCF_017874595.1	26175828	
GCA_017876815.1	26150618	GCF_017876815.1	26175088	
GCA_900045375.1	4321028	GCF_900045375.1	4332078	
GCA_900094545.1	3377678	GCF_900094545.1	4888248	
