name	contigs_db_path
SEMIA_442	GCF_014194265.db
SEMIA_4007	GCF_014198855.db
SEMIA_4013	GCF_014205755.db
SEMIA_4056	GCF_014200165.db
SEMIA_4027	GCF_014200115.db
SEMIA_34_80	GCF_014197655.db
SEMIA_4080	GCF_000359745.db
SEMIA_439	GCF_004766495.db
SEMIA_4032	GCF_004766515.db
SEMIA_4088	GCF_004766535.db
SEMIA_4085	GCF_013004495.db
SEMIA_4052	GCF_013408035.db
SEMIA_460	GCF_014138515.db
SEMIA_4071	GCF_014194165.db
SEMIA_4109	GCF_014194185.db
SEMIA_27_80	GCF_014194205.db
SEMIA_4108	GCF_014194235.db
SEMIA_403	GCF_014194255.db
SEMIA_428	GCF_014194285.db
SEMIA_454	GCF_014194315.db
SEMIA_468	GCF_014194325.db
SEMIA_4002	GCF_014194355.db
SEMIA_487	GCF_014194375.db
SEMIA_484	GCF_014194385.db
SEMIA_4029	GCF_014194405.db
SEMIA_4004	GCF_014194425.db
SEMIA_4042	GCF_014194455.db
SEMIA_4050	GCF_014194475.db
SEMIA_4051	GCF_014194485.db
SEMIA_4055	GCF_014194495.db
SEMIA_4053	GCF_014194525.db
SEMIA_4057	GCF_014194555.db
SEMIA_4062	GCF_014194575.db
SEMIA_4058	GCF_014194585.db
SEMIA_4061	GCF_014194595.db
SEMIA_4074	GCF_014197535.db
SEMIA_4079	GCF_014197585.db
SEMIA_4089	GCF_014197615.db
SEMIA_4087	GCF_014197625.db
SEMIA_402	GCF_014197875.db
SEMIA_410	GCF_014197895.db
SEMIA_415	GCF_014197955.db
SEMIA_416	GCF_014197975.db
SEMIA_435	GCF_014197995.db
SEMIA_421	GCF_014198005.db
SEMIA_430	GCF_014198015.db
SEMIA_436	GCF_014198055.db
SEMIA_437	GCF_014198065.db
SEMIA_449	GCF_014198095.db
SEMIA_448	GCF_014198105.db
SEMIA_445	GCF_014198115.db
SEMIA_444	GCF_014198155.db
SEMIA_440	GCF_014198165.db
SEMIA_498	GCF_014198195.db
SEMIA_4026	GCF_014198255.db
SEMIA_422	GCF_014198335.db
SEMIA_420	GCF_014198355.db
SEMIA_414	GCF_014198365.db
SEMIA_434	GCF_014198395.db
SEMIA_459	GCF_014198415.db
SEMIA_441	GCF_014198435.db
SEMIA_452	GCF_014198445.db
SEMIA_457	GCF_014198455.db
SEMIA_461	GCF_014198495.db
SEMIA_462	GCF_014198505.db
SEMIA_470	GCF_014198535.db
SEMIA_463	GCF_014198545.db
SEMIA_464	GCF_014198555.db
SEMIA_472	GCF_014198595.db
SEMIA_471	GCF_014198605.db
SEMIA_480	GCF_014198635.db
SEMIA_481	GCF_014198655.db
SEMIA_475	GCF_014198665.db
SEMIA_483	GCF_014198695.db
SEMIA_482	GCF_014198705.db
SEMIA_485	GCF_014198735.db
SEMIA_489	GCF_014198755.db
SEMIA_492	GCF_014198775.db
SEMIA_490	GCF_014198785.db
SEMIA_491	GCF_014198795.db
SEMIA_499	GCF_014198835.db
SEMIA_4016	GCF_014200035.db
SEMIA_4022	GCF_014200055.db
SEMIA_4024	GCF_014200075.db
SEMIA_4033	GCF_014200135.db
SEMIA_4034	GCF_014200155.db
SEMIA_4036	GCF_014200175.db
SEMIA_4063	GCF_014200185.db
SEMIA_4064	GCF_014200235.db
SEMIA_4072	GCF_014200255.db
SEMIA_4084	GCF_014200295.db
SEMIA_4011	GCF_014205785.db
SEMIA_488	GCF_014206965.db
SEMIA_4015	GCF_014207015.db
SEMIA_4025	GCF_014207035.db
SEMIA_4059	GCF_014207055.db
SEMIA_4060	GCF_014207095.db
