default	group	genus
SEMIA_410	G1	Agrobacterium
SEMIA_434	G1	Agrobacterium
SEMIA_435	G1	Agrobacterium
SEMIA_436	G1	Agrobacterium
SEMIA_437	G1	Agrobacterium
SEMIA_439	G1	Agrobacterium
SEMIA_440	G1	Agrobacterium
SEMIA_441	G1	Agrobacterium
SEMIA_457	G1	Agrobacterium
SEMIA_461	G1	Agrobacterium
SEMIA_462	G1	Agrobacterium
SEMIA_464	G1	Agrobacterium
SEMIA_472	G1	Agrobacterium
SEMIA_480	G1	Agrobacterium
SEMIA_4026	G2	Agrobacterium
SEMIA_4032	G2	Agrobacterium
SEMIA_4072	G2	Agrobacterium
SEMIA_444	G3	Rhizobium
SEMIA_448	G3	Rhizobium
SEMIA_452	G3	Rhizobium
SEMIA_4059	G4	Rhizobium
SEMIA_4063	G4	Rhizobium
SEMIA_4079	G4	Rhizobium
SEMIA_4088	G4	Rhizobium
SEMIA_4060	SEMIA_4060	Rhizobium
SEMIA_4080	SEMIA_4080	Rhizobium
SEMIA_492	G5	Rhizobium
SEMIA_4015	G5	Rhizobium
SEMIA_4064	SEMIA_4064	Rhizobium
SEMIA_402	G6	Rhizobium
SEMIA_4087	G6	Rhizobium
SEMIA_4085	SEMIA_4085	Rhizobium
SEMIA_4029	SEMIA_4029	Rhizobium
SEMIA_4011	G7	Rhizobium
SEMIA_4016	G7	Rhizobium
SEMIA_4052	G7	Rhizobium
SEMIA_416	G8	Rhizobium
SEMIA_445	G8	Rhizobium
SEMIA_449	G8	Rhizobium
SEMIA_459	G8	Rhizobium
SEMIA_460	G8	Rhizobium
SEMIA_463	G8	Rhizobium
SEMIA_481	G8	Rhizobium
SEMIA_483	G8	Rhizobium
SEMIA_485	G8	Rhizobium
SEMIA_488	G8	Rhizobium
SEMIA_498	G8	Rhizobium
SEMIA_499	G8	Rhizobium
SEMIA_414	SEMIA_414	Rhizobium
SEMIA_475	SEMIA_475	Rhizobium
SEMIA_4022	G9	Rhizobium
SEMIA_4024	G9	Rhizobium
SEMIA_4025	G9	Rhizobium
SEMIA_415	G9	Rhizobium
SEMIA_420	G9	Rhizobium
SEMIA_421	G9	Rhizobium
SEMIA_422	G9	Rhizobium
SEMIA_430	G9	Rhizobium
SEMIA_482	G9	Rhizobium
SEMIA_491	G9	Rhizobium
SEMIA_4089	SEMIA_4089	Rhizobium
SEMIA_471	G10	Rhizobium
SEMIA_489	G10	Rhizobium
SEMIA_4033	G11	Rhizobium
SEMIA_4034	G11	Rhizobium
SEMIA_4036	G11	Rhizobium
SEMIA_490	G11	Rhizobium
SEMIA_487	G12	Rhizobium
SEMIA_4002	G12	Rhizobium
SEMIA_4042	G12	Rhizobium
SEMIA_4050	G12	Rhizobium
SEMIA_4051	G12	Rhizobium
SEMIA_4053	G12	Rhizobium
SEMIA_4055	G12	Rhizobium
SEMIA_4057	G12	Rhizobium
SEMIA_4058	G12	Rhizobium
SEMIA_4071	G12	Rhizobium
SEMIA_27_80	G12	Rhizobium
SEMIA_4108	G12	Rhizobium
SEMIA_4109	G12	Rhizobium
SEMIA_403	G13	Rhizobium
SEMIA_428	G13	Rhizobium
SEMIA_454	G13	Rhizobium
SEMIA_468	G13	Rhizobium
SEMIA_484	G13	Rhizobium
SEMIA_4004	G13	Rhizobium
SEMIA_4061	G13	Rhizobium
SEMIA_4062	G13	Rhizobium
SEMIA_4074	G14	Rhizobium
SEMIA_470	G14	Rhizobium
SEMIA_4027	SEMIA_4027	Stenotrophomonas
SEMIA_4007	G15	Paraburkholderia
SEMIA_4013	G15	Paraburkholderia
SEMIA_4056	G15	Paraburkholderia
SEMIA_34_80	34/80	Variovorax
SEMIA_442	SEMIA_442	Mycobacterium
SEMIA_4084	SEMIA_4084	 Pararhizobium
