name	assembly_accession
SEMIA 4002	GCF_014194355.1
SEMIA 4004	GCF_014194425.1
SEMIA 4007	GCF_014198855.1
SEMIA 4011	GCF_014205785.1
SEMIA 4013	GCF_014205755.1
SEMIA 4015	GCF_014207015.1
SEMIA 4016	GCF_014200035.1
SEMIA 402	GCF_014197875.1
SEMIA 4022	GCF_014200055.1
SEMIA 4024	GCF_014200075.1
SEMIA 4025	GCF_014207035.1
SEMIA 4026	GCF_014198255.1
SEMIA 4027	GCF_014200115.1
SEMIA 4029	GCF_014194405.1
SEMIA 403	GCF_014194255.1
SEMIA 4032	GCF_004766515.1
SEMIA 4033	GCF_014200135.1
SEMIA 4034	GCF_014200155.1
SEMIA 4036	GCF_014200175.1
SEMIA 4042	GCF_014194455.1
SEMIA 4050	GCF_014194475.1
SEMIA 4051	GCF_014194485.1
SEMIA 4052	GCF_013408035.1
SEMIA 4053	GCF_014194525.1
SEMIA 4055	GCF_014194495.1
SEMIA 4056	GCF_014200165.1
SEMIA 4057	GCF_014194555.1
SEMIA 4058	GCF_014194585.1
SEMIA 4059	GCF_014207055.1
SEMIA 4060	GCF_014207095.1
SEMIA 4061	GCF_014194595.1
SEMIA 4062	GCF_014194575.1
SEMIA 4063	GCF_014200185.1
SEMIA 4064	GCF_014200235.1
SEMIA 4071	GCF_014194165.1
SEMIA 4072	GCF_014200255.1
SEMIA 4074	GCF_014197535.1
SEMIA 4077	GCF_000330885.1
SEMIA 4079	GCF_014197585.1
SEMIA 4080	GCF_000359745.1
SEMIA 4084	GCF_014200295.1
SEMIA 4085	GCF_013004495.1
SEMIA 4087	GCF_014197625.1
SEMIA 4088	GCF_004766535.1
SEMIA 4089	GCF_014197615.1
SEMIA 410	GCF_014197895.1
SEMIA 414	GCF_014198365.1
SEMIA 415	GCF_014197955.1
SEMIA 416	GCF_014197975.1
SEMIA 420	GCF_014198355.1
SEMIA 421	GCF_014198005.1
SEMIA 422	GCF_014198335.1
SEMIA 428	GCF_014194285.1
SEMIA 430	GCF_014198015.1
SEMIA 434	GCF_014198395.1
SEMIA 435	GCF_014197995.1
SEMIA 436	GCF_014198055.1
SEMIA 437	GCF_014198065.1
SEMIA 439	GCF_004766495.1
SEMIA 440	GCF_014198165.1
SEMIA 441	GCF_014198435.1
SEMIA 442	GCF_014194265.1
SEMIA 444	GCF_014198155.1
SEMIA 445	GCF_014198115.1
SEMIA 448	GCF_014198105.1
SEMIA 449	GCF_014198095.1
SEMIA 452	GCF_014198445.1
SEMIA 454	GCF_014194315.1
SEMIA 457	GCF_014198455.1
SEMIA 459	GCF_014198415.1
SEMIA 460	GCF_014138515.1
SEMIA 461	GCF_014198495.1
SEMIA 462	GCF_014198505.1
SEMIA 463	GCF_014198545.1
SEMIA 464	GCF_014198555.1
SEMIA 468	GCF_014194325.1
SEMIA 470	GCF_014198535.1
SEMIA 471	GCF_014198605.1
SEMIA 472	GCF_014198595.1
SEMIA 475	GCF_014198665.1
SEMIA 480	GCF_014198635.1
SEMIA 481	GCF_014198655.1
SEMIA 482	GCF_014198705.1
SEMIA 483	GCF_014198695.1
SEMIA 484	GCF_014194385.1
SEMIA 485	GCF_014198735.1
SEMIA 487	GCF_014194375.1
SEMIA 488	GCF_014206965.1
SEMIA 489	GCF_014198755.1
SEMIA 490	GCF_014198785.1
SEMIA 491	GCF_014198795.1
SEMIA 492	GCF_014198775.1
SEMIA 498	GCF_014198195.1
SEMIA 499	GCF_014198835.1
VC28	GCF_014194235.1
27/80	GCF_014194205.1
34/80	GCF_014197655.1
L15	GCF_014194185.1
