## miComplete
## v1.1.1
## Weights:	/home/agrega/micomplete/lib/python3.8/site-packages/micomplete/share/Bact105.weights
## Weights Standard deviation:	0.13917826966028532
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Weighted completeness	Weighted redundancy	Contigs	N50	L50	N90	L90	CDs	
GCF_0000071451_ASM714v1_genomic	5076188	65.07	105	1.0000	1.0190	1.0	1.0361	1	5076188	1	5076188	1	4292	
GCF_0000117051_ASM1170v1_genomic	5835527	68.49	105	1.0000	1.0190	1.0	1.0159	2	3510148	1	2325379	2	5002	
GCF_0000123651_ASM1236v1_genomic	6723972	67.63	105	1.0000	1.0095	1.0	1.0151	2	3809201	1	2914771	2	5652	
GCF_0000129451_ASM1294v1_genomic	8676277	66.27	105	1.0000	1.0190	1.0	1.0159	3	3587082	2	1395069	3	7713	
GCF_0000136051_ASM1360v1_genomic	4969784	59.6	102	0.9714	1.0098	0.9802	1.0239	2	4712337	1	4712337	1	4580	
GCF_0000155051_ASM1550v1_genomic	5366143	61.68	103	0.9810	1.0097	0.9802	1.0203	9	4410291	1	190172	3	5020	
GCF_0000153051_ASM1530v1_genomic	6491865	67.79	104	0.9905	1.0192	0.9998	1.0222	1	6491865	1	6491865	1	6170	
GCF_0000163451_ASM1634v1_genomic	2159490	44.83	105	1.0000	1.0095	1.0	1.0008	1	2159490	1	2159490	1	2135	
GCF_0000136451_ASM1364v1_genomic	9731138	62.63	105	1.0000	1.0952	1.0	1.0458	3	4895836	1	1471779	3	8704	
GCF_0000155651_ASM1556v1_genomic	5597943	65.24	104	0.9905	1.0096	0.9884	1.0133	2	5566749	1	5566749	1	4950	
GCF_0000920251_ASM9202v1_genomic	5674258	59.04	104	0.9905	1.0000	0.9918	1.0	4	2841580	1	542868	3	5288	
GCF_0000200451_ASM2004v1_genomic	8676562	62.29	105	1.0000	1.0286	1.0	1.0414	4	2697374	2	1904893	3	7814	
GCF_0000697851_ASM6978v1_genomic	6476522	66.99	105	1.0000	1.0286	1.0	1.0207	3	3416911	1	2502411	2	5767	
GCF_0000201251_ASM2012v1_genomic	8214658	62.29	105	1.0000	1.0286	1.0	1.038	3	4467537	1	3625999	2	7341	
GCF_0000920451_ASM9204v1_genomic	6530228	61.03	104	0.9905	1.0192	0.9814	1.0383	7	4381608	1	371254	4	6254	
GCF_0001522851_ASM15228v1_genomic	6354340	67.25	98	0.9333	1.0102	0.9118	1.0166	2	3453093	1	2901247	2	5391	
GCF_0001578953_ASM15789v2_genomic	6577228	66.23	104	0.9905	1.0096	0.9918	1.0102	2	6432277	1	6432277	1	5798	
GCF_0001641351_ASM16413v1_genomic	6564171	65.64	103	0.9810	1.0000	0.9916	1.0	124	1277640	2	160801	8	6145	
GCF_0001703751_ASM17037v1_genomic	6987607	67.03	105	1.0000	1.0190	1.0	1.0159	633	21377	95	5423	325	6446	
