gene_callers_id	source	accession	function	e_value
1040	blastp	nodN[Nodulation]	nodN[Nodulation]	1.17e-84
1057	blastp	ntrC[Fixation]	ntrC[Fixation]	2.06e-13
1089	blastp	ntrC[Fixation]	ntrC[Fixation]	8.78e-101
1124	blastp	nolR[Nodulation]	nolR[Nodulation]	1.14e-07
1149	blastp	nodG[Nodulation]	nodG[Nodulation]	3.65e-11
1150	blastp	nodG[Nodulation]	nodG[Nodulation]	1.05e-17
1221	blastp	nodG[Nodulation]	nodG[Nodulation]	1.25e-44
1231	blastp	nodG[Nodulation]	nodG[Nodulation]	1.05e-46
1259	blastp	nolF[Nodulation]	nolF[Nodulation]	1.66e-10
1260	blastp	nolG[Nodulation]	nolG[Nodulation]	2.31e-115
1294	blastp	glnG[Fixation]	glnG[Fixation]	7.22e-05
13	blastp	glnA[Fixation]	glnA[Fixation]	5.35e-43
131	blastp	nodG[Nodulation]	nodG[Nodulation]	8.82e-36
1323	blastp	nolG[Nodulation]	nolG[Nodulation]	9.8e-157
1324	blastp	nolF[Nodulation]	nolF[Nodulation]	5.84e-11
1391	blastp	nodD3[Nodulation]	nodD3[Nodulation]	3.28e-40
1441	blastp	nodG[Nodulation]	nodG[Nodulation]	2.17e-40
1576	blastp	nolR[Nodulation]	nolR[Nodulation]	7.18e-12
1600	blastp	nodG[Nodulation]	nodG[Nodulation]	8.37e-42
1628	blastp	nifV1[Fixation]	nifV1[Fixation]	2.35e-13
1632	blastp	nifC[Fixation]	nifC[Fixation]	8.99e-07
1647	blastp	fixJ[Fixation]	fixJ[Fixation]	6.56e-10
1816	blastp	glnG[Fixation]	glnG[Fixation]	2.75e-19
1828	blastp	nodG[Nodulation]	nodG[Nodulation]	3.28e-40
1838	blastp	nodG[Nodulation]	nodG[Nodulation]	2.38e-07
1844	blastp	nifC[Fixation]	nifC[Fixation]	1.21e-05
1868	blastp	nodT[Nodulation]	nodT[Nodulation]	6.55e-32
1874	blastp	nodG[Nodulation]	nodG[Nodulation]	3.07e-23
1946	blastp	glnT[Fixation]	glnT[Fixation]	9.31e-27
1954	blastp	fixR[Fixation]	fixR[Fixation]	2.63e-23
1960	blastp	nifC[Fixation]	nifC[Fixation]	9.07e-06
2021	blastp	fixJ[Fixation]	fixJ[Fixation]	2.38e-11
2038	blastp	nolG[Nodulation]	nolG[Nodulation]	3.63e-105
2039	blastp	nolF[Nodulation]	nolF[Nodulation]	1.41e-09
2074	blastp	nodV[Nodulation]	nodV[Nodulation]	7.66e-59
2075	blastp	nodW[Nodulation]	nodW[Nodulation]	6.73e-78
211	blastp	nodG[Nodulation]	nodG[Nodulation]	8.5e-11
2147	blastp	glnA[Fixation]	glnA[Fixation]	3.15e-46
22	blastp	nifC[Fixation]	nifC[Fixation]	2.61e-06
2214	blastp	nodG[Nodulation]	nodG[Nodulation]	3.04e-24
2224	blastp	nolF[Nodulation]	nolF[Nodulation]	1.25e-15
2225	blastp	nolG[Nodulation]	nolG[Nodulation]	4.12e-138
241	blastp	nolR[Nodulation]	nolR[Nodulation]	4.53e-08
2517	blastp	nifS1[Fixation]	nifS1[Fixation]	4.88e-71
2521	blastp	nifS1[Fixation]	nifS1[Fixation]	4.7e-27
2523	blastp	hesB1[Fixation]	hesB1[Fixation]	2.1e-24
2592	blastp	nodD3[Nodulation]	nodD3[Nodulation]	5.38e-28
2597	blastp	ntrC[Fixation]	ntrC[Fixation]	8.47e-10
2603	blastp	MTH_664[Fixation]	MTH_664[Fixation]	1.66e-41
2638	blastp	fixJ[Fixation]	fixJ[Fixation]	1.31e-11
2650	blastp	nolG[Nodulation]	nolG[Nodulation]	3.65e-103
2651	blastp	nolG[Nodulation]	nolG[Nodulation]	1.2e-129
2652	blastp	nolG[Nodulation]	nolG[Nodulation]	6.05e-144
2655	blastp	fixI[Fixation]	fixI[Fixation]	8.24e-98
2656	blastp	nolA[Fixation]	nolA[Fixation]	3.86e-07
2670	blastp	nolG[Nodulation]	nolG[Nodulation]	7.6e-118
2671	blastp	nolF[Nodulation]	nolF[Nodulation]	8.73e-12
2718	blastp	nodM[Nodulation]	nodM[Nodulation]	1.47e-22
2721	blastp	nolG[Nodulation]	nolG[Nodulation]	9.52e-132
