Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene ontology (biological process)
Q59207	FIXI_BRADU	reviewed	Nitrogen fixation protein FixI (E1-E2 type cation ATPase FixI) (EC 7.2.2.-)	fixI blr2769	Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110)	730	nitrogen fixation [GO:0009399]
P18398	FIXI_RHIME	reviewed	Nitrogen fixation protein FixI (E1-E2 type cation ATPase FixI) (EC 7.2.2.-)	fixI RA0659 SMa1209	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	757	nitrogen fixation [GO:0009399]
Q52718	APBEF_RHOCA	reviewed	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase) (Nitrogen fixation protein RnfF)	rnfF	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	523	nitrogen fixation [GO:0009399]; protein flavinylation [GO:0017013]
O33533	FIXI_RHILV	reviewed	Nitrogen fixation protein FixI (E1-E2 type cation ATPase FixI) (EC 7.2.2.-)	fixI	Rhizobium leguminosarum bv. viciae	761	nitrogen fixation [GO:0009399]
P0CZ14	RNFB_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Nitrogen fixation protein RnfB) (Rnf electron transport complex subunit B)	rnfB	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	187	nitrogen fixation [GO:0009399]
P97054	RNFG_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit G (EC 7.-.-.-) (Nitrogen fixation protein RnfG) (Rnf electron transport complex subunit G)	rnfG	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	217	nitrogen fixation [GO:0009399]
Q52716	RNFC_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Nitrogen fixation protein RnfC) (Rnf electron transport complex subunit C)	rnfC	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	519	nitrogen fixation [GO:0009399]
D5ARZ0	RNFB_RHOCB	reviewed	Ion-translocating oxidoreductase complex subunit B (EC 7.-.-.-) (Nitrogen fixation protein RnfB) (Rnf electron transport complex subunit B)	rnfB RCAP_rcc03288	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	187	nitrogen fixation [GO:0009399]
P05340	NIFU_AZOVI	reviewed	Nitrogen fixation protein NifU	nifU	Azotobacter vinelandii	312	iron-sulfur cluster assembly [GO:0016226]; nitrogen fixation [GO:0009399]
D5ARY9	RNFA_RHOCB	reviewed	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Nitrogen fixation protein RnfA) (Rnf electron transport complex subunit A)	rnfA RCAP_rcc03287	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	193	electron transport chain [GO:0022900]; nitrogen fixation [GO:0009399]
P12627	VNFA_AZOVI	reviewed	Nitrogen fixation protein VnfA	vnfA	Azotobacter vinelandii	522	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
P0CZ13	RNFA_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Nitrogen fixation protein RnfA) (Rnf electron transport complex subunit A)	rnfA	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	193	electron transport chain [GO:0022900]; nitrogen fixation [GO:0009399]
D5ARZ1	RNFC_RHOCB	reviewed	Ion-translocating oxidoreductase complex subunit C (EC 7.-.-.-) (Nitrogen fixation protein RnfC) (Rnf electron transport complex subunit C)	rnfC RCAP_rcc03289	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	519	nitrogen fixation [GO:0009399]
P30663	NIFL_AZOVI	reviewed	Nitrogen fixation regulatory protein (EC 2.7.13.3)	nifL	Azotobacter vinelandii	519	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
P97055	RNFE_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit E (EC 7.-.-.-) (Nitrogen fixation protein RnfE) (Rnf electron transport complex subunit E)	rnfE	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	243	electron transport chain [GO:0022900]; nitrogen fixation [GO:0009399]
Q52715	RNFD_RHOCA	reviewed	Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-) (Nitrogen fixation protein RnfD) (Rnf electron transport complex subunit D)	rnfD	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	358	electron transport chain [GO:0022900]; nitrogen fixation [GO:0009399]; transmembrane transport [GO:0055085]
P12626	ANFA_AZOVI	reviewed	Nitrogen fixation protein AnfA	anfA	Azotobacter vinelandii	533	nitrogen fixation [GO:0009399]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]
