"","components(g)$membership"
"GCF_000007145.1_ASM714v1_genomic.fna",1
"GCF_000011705.1_ASM1170v1_genomic.fna",2
"GCF_000012365.1_ASM1236v1_genomic.fna",3
"GCF_000012945.1_ASM1294v1_genomic.fna",4
"GCF_000013605.1_ASM1360v1_genomic.fna",5
"GCF_000013645.1_ASM1364v1_genomic.fna",6
"GCF_000015305.1_ASM1530v1_genomic.fna",7
"GCF_000015505.1_ASM1550v1_genomic.fna",8
"GCF_000015565.1_ASM1556v1_genomic.fna",9
"GCF_000016345.1_ASM1634v1_genomic.fna",10
"GCF_000020045.1_ASM2004v1_genomic.fna",11
"GCF_000020125.1_ASM2012v1_genomic.fna",12
"GCF_000069785.1_ASM6978v1_genomic.fna",13
"GCF_000092025.1_ASM9202v1_genomic.fna",14
"GCF_000092045.1_ASM9204v1_genomic.fna",15
"GCF_000152285.1_ASM15228v1_genomic.fna",3
"GCF_000157895.3_ASM15789v2_genomic.fna",16
"GCF_000164135.1_ASM16413v1_genomic.fna",17
"GCF_000170375.1_ASM17037v1_genomic.fna",18
"GCF_000172115.1_ASM17211v1_genomic.fna",19
"GCF_000172415.1_ASM17241v1_genomic.fna",20
"GCF_000174035.1_ASM17403v1_genomic.fna",21
"GCF_000176855.2_ASM17685v2_genomic.fna",22
"GCF_000186425.1_ASM18642v1_genomic.fna",23
"GCF_000192025.1_ASM19202v1_genomic.fna",24
"GCF_000192065.1_ASM19206v1_genomic.fna",25
"GCF_000193225.1_ASM19322v1_genomic.fna",26
"GCF_000195955.2_ASM19595v2_genomic.fna",27
"GCF_000196015.1_ASM19601v1_genomic.fna",28
"GCF_000198775.1_ASM19877v1_genomic.fna",29
"GCF_000203915.1_ASM20391v1_genomic.fna",30
"GCF_000204195.1_ASM20419v1_genomic.fna",31
"GCF_000204645.1_ASM20464v1_genomic.fna",32
"GCF_000211835.1_ASM21183v1_genomic.fna",33
"GCF_000214155.1_ASM21415v1_genomic.fna",34
"GCF_000214175.1_ASM21417v1_genomic.fna",35
"GCF_000215705.1_ASM21570v1_genomic.fna",36
"GCF_000219215.1_ASM21921v1_genomic.fna",37
"GCF_000222105.3_ASM22210v4_genomic.fna",38
"GCF_000234585.1_ASM23458v1_genomic.fna",39
"GCF_000239035.1_ASM23903v2_genomic.fna",40
"GCF_000239055.1_ASM23905v2_genomic.fna",40
"GCF_000241525.1_ASM24152v2_genomic.fna",41
"GCF_000261485.1_05684_genomic.fna",42
"GCF_000263335.1_XALMG941_genomic.fna",43
"GCF_000270665.1_ASM27066v1_genomic.fna",40
"GCF_000276825.1_ASM27682v1_genomic.fna",19
"GCF_000277125.1_ASM27712v1_genomic.fna",19
"GCF_000277735.2_ASM27773v2_genomic.fna",27
"GCF_000282995.1_CRZ1_genomic.fna",44
"GCF_000285775.1_ASM28577v1_genomic.fna",43
"GCF_000286555.1_gbmulcf1v1.0_genomic.fna",45
"GCF_000295855.1_ASM29585v1_genomic.fna",46
"GCF_000298315.2_ASM29831v2_genomic.fna",47
"GCF_000300375.1_ASM30037v1_genomic.fna",48
"GCF_000325745.1_ASM32574v1_genomic.fna",49
"GCF_000330885.1_ASM33088v1_genomic.fna",50
"GCF_000331775.1_ASM33177v1_genomic.fna",51
"GCF_000340435.2_ASM34043v3_genomic.fna",52
"GCF_000359745.1_Rhizobium_sp._genomic.fna",53
"GCF_000372525.1_ASM37252v1_genomic.fna",54
"GCF_000374625.1_ASM37462v1_genomic.fna",55
"GCF_000379605.1_ASM37960v1_genomic.fna",56
